001	0v ◯0	⊥ ⊃ ⊥	PROVED	50	term      (λ. #0)
002	0v ◯0	⊤	PROVED	40	term      (λ. #0)
003	0v ◯0	⊥ ∨ ⊤	PROVED	40	term      (inr (λ. #0))
004	0v ◯0	⊥ ∧ ⊤	REFUTED	42	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
005	0v ◯1	◯⊥	REFUTED	43	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
006	0v ◯1	¬◯⊥	REFUTED	46	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
007	0v ◯1	◯⊤	PROVED	45	term      val (λ. #0)
008	0v ◯1	◯⊥ ⊃ ⊥	REFUTED	42	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
009	0v ◯1	◯⊥ ∨ ¬◯⊥	REFUTED	45	model     3 worlds (from the calculus) → minimised 3; frame-ok=true, refutes=t
010	0v ◯1	◯⊥ ∧ ⊤	REFUTED	42	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
011	0v ◯1	⊥ ⊃ ◯⊥	PROVED	40	term      (λ. abort #0)
012	0v ◯1	◯(⊥ ∨ ⊤)	PROVED	40	term      val (inr (λ. #0))
013	0v ◯2	◯◯⊥	REFUTED	44	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
014	0v ◯2	◯◯⊥ ⊃ ◯⊥	PROVED	43	term      (λ. ((λ'. #0) #0))
015	0v ◯2	◯⊥ ⊃ ◯◯⊥	PROVED	42	term      (λ. ((λ'. abort #0) #0))
016	0v ◯2	◯(◯⊥ ⊃ ⊥)	REFUTED	41	model     3 worlds (from the calculus) → minimised 3; frame-ok=true, refutes=t
017	0v ◯2	(◯⊥ ∧ ◯⊤) ⊃ ◯(⊥ ∧ ⊤)	PROVED	98	term      (λ. ((λ. ((λ. ((λ'. abort #0) #0)) #1.1)) #0.2))
018	0v ◯2	◯(⊥ ∨ ⊤) ⊃ (◯⊥ ∨ ◯⊤)	PROVED	48	term      (λ. (inr ((λ'. (case #0 of abort #0 | val #0)) #0)))
019	0v ◯3	◯◯◯⊥	REFUTED	45	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
020	0v ◯3	◯◯◯⊥ ⊃ ◯⊥	PROVED	46	term      (λ. ((λ'. ((λ'. #0) #0)) #0))
021	1v ◯0	p ⊃ p	PROVED	41	term      (λ. #0)
022	1v ◯0	p	REFUTED	42	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
023	1v ◯0	p ∨ ¬p	REFUTED	40	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
024	1v ◯0	p ∧ p ⊃ p	PROVED	39	term      (λ. ((λ. ((λ. #0) #1.1)) #0.2))
025	1v ◯0	¬¬p ⊃ p	REFUTED	41	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
026	1v ◯0	p ⊃ ¬¬p	PROVED	44	term      (λ. (λ. ((λ. #0) (#0 #1))))
027	1v ◯0	(p ⊃ ⊥) ∨ p	REFUTED	45	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
028	1v ◯0	p ∨ (p ⊃ ⊥)	REFUTED	46	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
029	1v ◯1	p ⊃ ◯p	PROVED	39	term      (λ. val #0)
030	1v ◯1	◯p ⊃ p	REFUTED	39	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
031	1v ◯1	◯p	REFUTED	39	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
032	1v ◯1	◯p ∨ ¬◯p	REFUTED	72	model     3 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
033	1v ◯1	◯p ∧ p ⊃ p	PROVED	44	term      (λ. ((λ. ((λ. #1) #1.1)) #0.2))
034	1v ◯1	◯(p ∨ ¬p)	REFUTED	44	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
035	1v ◯1	◯p ⊃ ◯(p ∨ p)	PROVED	41	term      (λ. ((λ'. val (inl #0)) #0))
036	1v ◯1	◯(p ∧ p) ⊃ ◯p	PROVED	40	term      (λ. ((λ'. ((λ. ((λ. val #0) #1.1)) #0.2)) #0))
037	1v ◯1	◯p ⊃ (◯p ∨ ◯p)	PROVED	40	term      (λ. (inl #0))
038	1v ◯1	(◯p ∧ ◯p) ⊃ ◯p	PROVED	39	term      (λ. ((λ. ((λ. #0) #1.1)) #0.2))
039	1v ◯1	¬◯p ⊃ ¬p	PROVED	41	term      (λ. (λ. ((λ. #0) (#1 val #0))))
040	1v ◯1	¬p ⊃ ¬◯p	REFUTED	217	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
041	1v ◯2	◯◯p ⊃ ◯p	PROVED	40	term      (λ. ((λ'. #0) #0))
042	1v ◯2	◯p ⊃ ◯◯p	PROVED	40	term      (λ. ((λ'. val val #0) #0))
043	1v ◯2	◯(◯p ⊃ p)	REFUTED	40	model     3 worlds (from the calculus) → minimised 3; frame-ok=true, refutes=t
044	1v ◯2	◯◯p	REFUTED	44	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
045	1v ◯2	◯(◯p ∨ p)	REFUTED	44	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
046	1v ◯2	◯(◯p ∧ p) ⊃ ◯p	PROVED	42	term      (λ. ((λ'. ((λ. ((λ. #0) #1.1)) #0.2)) #0))
047	1v ◯2	(◯◯p ∨ ◯p) ⊃ ◯p	PROVED	40	term      (λ. (case #0 of ((λ'. #0) #0) | #0))
048	1v ◯2	◯◯p ⊃ (◯p ∧ ◯◯p)	PROVED	42	term      (λ. ⟨((λ'. #0) #0), #0⟩)
049	1v ◯2	¬◯◯p ⊃ ¬◯p	PROVED	227	term      (λ. (λ. ((λ. #0) (#1 ((λ'. val val #0) #0)))))
050	1v ⊃2	((p ⊃ ⊥) ⊃ p) ⊃ p	REFUTED	45	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
051	1v ⊃2	((◯p ⊃ ⊥) ⊃ ◯p) ⊃ ◯p	REFUTED	185	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
052	1v ⊃3	(((p ⊃ ⊥) ⊃ ⊥) ⊃ p)	REFUTED	45	model     2 worlds (from the calculus) → minimised 2; frame-ok=true, refutes=t
053	1v ⊃3	(((◯p ⊃ p) ⊃ ◯p) ⊃ ◯p)	REFUTED	55	model     3 worlds (from the calculus) → minimised 3; frame-ok=true, refutes=t
054	1v ⊃3	((p ⊃ ◯p) ⊃ p) ⊃ p	PROVED	42	term      (λ. ((λ. #0) (#0 (λ. val #0))))
055	1v ⊃3	(p ⊃ (p ⊃ ◯p)) ⊃ (p ⊃ ◯p)	PROVED	41	term      (λ. (λ. val #0))
056	1v ◯3	◯◯◯p ⊃ ◯p	PROVED	41	term      (λ. ((λ'. ((λ'. #0) #0)) #0))
057	1v ◯3	◯p ⊃ ◯◯◯p	PROVED	41	term      (λ. ((λ'. val val val #0) #0))
058	1v ◯3	◯◯◯p	REFUTED	40	model     1 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
059	1v ◯3	◯(◯(◯p ⊃ p) ⊃ p)	REFUTED	151	model     3 worlds (from the calculus) → minimised 1; frame-ok=true, refutes=t
060	2v ◯0	p ⊃ (q ⊃ p)	PROVED	44	term      (λ. (λ. #1))
061	2v ◯0	(p ∧ q) ⊃ p	PROVED	40	term      (λ. ((λ. ((λ. #0) #1.1)) #0.2))
